# symbiomics RNA-seq samplesheet (tab-separated TSV)
#
# Required columns (minimum):
#   sample_id   unique sample name (letters/digits/._- only, no spaces, no duplicates)
#   fastq_1     path to read file (or R1 of a pair)
# All other columns are optional and have sensible defaults.
# Relative paths resolve against config key raw_dir; absolute paths are safest.
#
# Paired-end reads are auto-detected from filename (e.g. _R1/_R2).
# If your naming differs, add fastq_2 explicitly.
#
# Use bam column for pre-aligned coordinate-sorted BAM (mutually exclusive with fastq_1).
#
# Optional columns (add only when needed):
#   fastq_2       mate file (use '-' for auto-detect)
#   layout        auto | SE | PE | interleaved   (default: auto)
#   strandedness  auto | forward | reverse | unstranded  (default: auto)
#   read_type     short | isoseq | ont_cdna | ont_drna   (default: short = Illumina short-read)
#   condition     experimental group (e.g. control, treated) for downstream DE
#   replicate     biological replicate number (default: 1)
#   use_for       all | braker,stringtie,count  (default: all)
#   bam           pre-aligned coordinate-sorted BAM path (mutually exclusive with fastq_1)
#   genome_id     target genome id (batch mode only; default = config genome)
# '-' means "not set" (never leave blank).
#
# Example: minimal columns only (recommended for simplicity)
sample_id	fastq_1
Ctrl_1	/path/to/Ctrl_1_R1.fastq.gz
Ctrl_2	/path/to/Ctrl_2_R1.fastq.gz
Trt_1	/path/to/Trt_1_R1.fastq.gz
Trt_2	/path/to/Trt_2_R1.fastq.gz
#
# Example: with common optional columns (condition, replicate)
# sample_id	fastq_1	condition	replicate
# Ctrl_1	/path/to/Ctrl_1_R1.fastq.gz	control	1
# Ctrl_2	/path/to/Ctrl_2_R1.fastq.gz	control	2
# Trt_1	/path/to/Trt_1_R1.fastq.gz	treated	1
# Trt_2	/path/to/Trt_2_R1.fastq.gz	treated	2
